run_id,run_type,variant_id,variant_family,variant_label,country_id,policy_id,policy_variant_id,gmi_version,scenario_id,regime_id,headline_cell,v_baseline,v_variant,delta_v,abs_delta_v,baseline_cell_result_class,variant_cell_result_class,cambia_clase_celda,baseline_country_policy_result_class,variant_country_policy_result_class,cambia_clasificacion_pais_politica,baseline_reversed_flag,variant_note,parameter_set_id,baseline_parameter_set_id,dataset_version
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p10,R14_historical_reduced_form,r0 V with total-revenue historical MFC P10,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,mid,r0,True,-0.6119963968804701,0.0673951038572931,0.6793915007377632,0.6793915007377632,not_feasible,not_feasible,False,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,r0 V with total-revenue historical MFC P10; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p10,R14_historical_reduced_form,r0 V with total-revenue historical MFC P10,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r0,True,3.901937871138183,6.879607426310132,2.977669555171949,2.977669555171949,feasible_cell,feasible_cell,False,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,r0 V with total-revenue historical MFC P10; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p10,R14_historical_reduced_form,r0 V with total-revenue historical MFC P10,PER,PEN,PEN,,stress,r2,True,1.15780271593806,1.15780271593806,0.0,0.0,accounting_feasible_debt_failed,accounting_feasible_debt_failed,False,fragile_feasibility,fragile_feasibility,False,False,r0 V with total-revenue historical MFC P10; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p10,R14_historical_reduced_form,r0 V with total-revenue historical MFC P10,PER,PEN,PEN,,stress,r4,True,1.4222907379520815,1.4222907379520815,0.0,0.0,accounting_feasible_debt_failed,accounting_feasible_debt_failed,False,fragile_feasibility,fragile_feasibility,False,False,r0 V with total-revenue historical MFC P10; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p50,R14_historical_reduced_form,r0 V with total-revenue historical MFC P50,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,mid,r0,True,-0.6119963968804701,3.8155927247103816,4.427589121590851,4.427589121590851,not_feasible,feasible_cell,True,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,r0 V with total-revenue historical MFC P50; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p50,R14_historical_reduced_form,r0 V with total-revenue historical MFC P50,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r0,True,3.901937871138183,20.578393040038076,16.67645516889989,16.67645516889989,feasible_cell,feasible_cell,False,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,r0 V with total-revenue historical MFC P50; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p50,R14_historical_reduced_form,r0 V with total-revenue historical MFC P50,PER,PEN,PEN,,stress,r2,True,1.15780271593806,1.15780271593806,0.0,0.0,accounting_feasible_debt_failed,accounting_feasible_debt_failed,False,fragile_feasibility,fragile_feasibility,False,False,r0 V with total-revenue historical MFC P50; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p50,R14_historical_reduced_form,r0 V with total-revenue historical MFC P50,PER,PEN,PEN,,stress,r4,True,1.4222907379520815,1.4222907379520815,0.0,0.0,accounting_feasible_debt_failed,accounting_feasible_debt_failed,False,fragile_feasibility,fragile_feasibility,False,False,r0 V with total-revenue historical MFC P50; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p90,R14_historical_reduced_form,r0 V with total-revenue historical MFC P90,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,mid,r0,True,-0.6119963968804701,7.366822826425155,7.978819223305625,7.978819223305625,not_feasible,feasible_cell,True,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,r0 V with total-revenue historical MFC P90; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p90,R14_historical_reduced_form,r0 V with total-revenue historical MFC P90,CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r0,True,3.901937871138183,33.55730844133855,29.655370570200365,29.655370570200365,feasible_cell,feasible_cell,False,conditional_feasibility_probabilistic_leg_not_evaluated,conditional_feasibility_probabilistic_leg_not_evaluated,False,False,r0 V with total-revenue historical MFC P90; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p90,R14_historical_reduced_form,r0 V with total-revenue historical MFC P90,PER,PEN,PEN,,stress,r2,True,1.15780271593806,1.15780271593806,0.0,0.0,accounting_feasible_debt_failed,accounting_feasible_debt_failed,False,fragile_feasibility,fragile_feasibility,False,False,r0 V with total-revenue historical MFC P90; baseline translation mechanics. baseline frontier mean OECD-Eurostat.,baseline-official-v3,baseline-official-v3,v1.0.1-official-4c
